DATE,y_true
1990-01-01,101.16619483827367
1990-02-01,103.76015711008405
1990-03-01,101.9844226719251
1990-04-01,101.6373573769769
1990-05-01,103.78014999863282
1990-06-01,101.41512803436733
1990-07-01,101.15618782202327
1990-08-01,100.55294068953103
1990-09-01,101.68089066534895
1990-10-01,102.28327948987055
1990-11-01,102.52275237971972
1990-12-01,101.75560987712863
1991-01-01,101.59631811673718
1991-02-01,102.45061143023145
1991-03-01,101.49011457676735
1991-04-01,104.49296323962304
1991-05-01,100.43939821659484
1991-06-01,101.51767615201663
1991-07-01,104.10219242912183
1991-08-01,102.33945574985027
1991-09-01,101.87616876624067
1991-10-01,101.80560938125413
1991-11-01,101.73268691600703
1991-12-01,102.27933359944147
1992-01-01,98.76508618956498
1992-02-01,102.25513572699657
1992-03-01,99.56436167092806
1992-04-01,100.99540087347913
1992-05-01,101.88242722434634
1992-06-01,103.31905429786262
1992-07-01,100.87842894531165
1992-08-01,102.72233169735128
1992-09-01,104.00805019907726
1992-10-01,100.00531841071493
1992-11-01,102.21387831700065
1992-12-01,101.72508140826525
1993-01-01,102.59780522117784
1993-02-01,102.12986906913828
1993-03-01,101.16447535302109
1993-04-01,101.20366438371789
1993-05-01,103.4982602455115
1993-06-01,101.693733427056
1993-07-01,102.44906105930875
1993-08-01,100.40796876702301
1993-09-01,100.49299258813171
1993-10-01,102.04021877704538
1993-11-01,103.12794979558504
1993-12-01,101.62054998615956
1994-01-01,101.26939330262864
1994-02-01,101.87954649749157
1994-03-01,100.56359826265279
1994-04-01,102.90541651441876
1994-05-01,102.8023385850431
1994-06-01,100.81137923859609
1994-07-01,101.36159569719949
1994-08-01,101.98265014078935
1994-09-01,101.17439099870451
1994-10-01,102.35187861369262
1994-11-01,104.37113095988884
1994-12-01,102.27656979844151
1995-01-01,102.36850288412153
1995-02-01,102.19149366854067
1995-03-01,103.9842150515652
1995-04-01,102.6880033656916
1995-05-01,101.95974908927245
1995-06-01,103.92919357620524
1995-07-01,104.10263818925351
1995-08-01,101.85426712495912
1995-09-01,99.99598501109293
1995-10-01,103.12165851427949
1995-11-01,101.04438362057778
1995-12-01,102.41859406980288
1996-01-01,98.88819680588325
1996-02-01,101.48785911916326
1996-03-01,99.40456095848629
1996-04-01,102.69609803819999
1996-05-01,102.51589818355102
1996-06-01,102.02537811441894
1996-07-01,101.80201514641139
1996-08-01,102.31042971041752
1996-09-01,101.45698824441908
1996-10-01,101.54224176180095
1996-11-01,103.43440158368648
1996-12-01,99.98419996835612
1997-01-01,103.09116315381999
1997-02-01,101.21480162782227
1997-03-01,100.39569739961267
1997-04-01,100.52847098157223
1997-05-01,101.50858693815894
1997-06-01,102.8144559213937
1997-07-01,101.24240060077531
1997-08-01,102.85678199349523
1997-09-01,100.31025842084925
1997-10-01,101.65192052410615
1997-11-01,100.85022144638602
1997-12-01,102.33661123254453
1998-01-01,101.93753500412535
1998-02-01,101.12922089066366
1998-03-01,98.67498452533843
1998-04-01,101.52620080661768
1998-05-01,101.70658055249011
1998-06-01,102.08029298053951
1998-07-01,103.03712942480357
1998-08-01,100.6014448555888
1998-09-01,102.52861098832118
1998-10-01,102.86829080534129
1998-11-01,99.96599112762163
1998-12-01,102.33436482488514
1999-01-01,101.43283875282926
1999-02-01,101.62792987269623
1999-03-01,102.10749730454428
1999-04-01,101.20641664440633
1999-05-01,100.2125075107181
1999-06-01,100.6319400488108
1999-07-01,100.21057422113911
1999-08-01,100.38999067073333
1999-09-01,102.57350934084148
1999-10-01,101.29686701662082
1999-11-01,103.1628825931152
1999-12-01,103.38837589154686
2000-01-01,101.51595909124927
2000-02-01,102.27574722987312
2000-03-01,103.77885417583556
2000-04-01,100.37262599936486
2000-05-01,100.91312401801504
2000-06-01,101.67688226454172
2000-07-01,101.42465940844981
2000-08-01,101.08377936285753
2000-09-01,100.33343049120231
2000-10-01,103.02305005203446
2000-11-01,103.71357556634983
2000-12-01,102.96449685123831
2001-01-01,102.87729936787947
2001-02-01,101.24643408934557
2001-03-01,101.07948600482021
2001-04-01,102.94917111368154
2001-05-01,102.73781858201248
2001-06-01,103.43604396580042
2001-07-01,102.84498898557848
2001-08-01,100.00772761211928
2001-09-01,102.03728209544524
2001-10-01,100.6049362266812
2001-11-01,101.68281241977586
2001-12-01,102.15845966567134
2002-01-01,104.49488595308908
2002-02-01,105.21441345716359
2002-03-01,102.10430894621142
2002-04-01,101.52499818384534
2002-05-01,101.74409285694621
2002-06-01,102.31648343855167
2002-07-01,100.93368907593867
2002-08-01,103.44728330055706
2002-09-01,101.96552853635498
2002-10-01,102.28246430606373
2002-11-01,102.43296043386364
2002-12-01,101.97590876769672
2003-01-01,102.54994994145831
2003-02-01,101.15258020703834
2003-03-01,101.14156933110475
2003-04-01,100.98260900061096
2003-05-01,102.33285801857421
2003-06-01,102.26322076763228
2003-07-01,102.35641841087366
2003-08-01,103.25188568249096
2003-09-01,101.68847441768906
2003-10-01,102.32431476386036
2003-11-01,100.06242299424032
2003-12-01,100.58919643335429
2004-01-01,100.69896746271749
