DATE,y_true,y_diff,MLP_diff,MLP_level,LSTM_diff,LSTM_level
6/1/90,273.6686831,-0.033321791,-0.06612163,264.2328983,0.003145871,283.8315455
7/1/90,281.1478603,0.026962536,0.017529923,2.78E+02,0.061254125,290.4320188
8/1/90,282.5963717,0.005138907,0.000120546,2.81E+02,-0.017457174,276.2398132
9/1/90,282.4791133,-0.000415019,0.00998611,2.85E+02,-0.016160367,278.0295106
10/1/90,267.6248306,-0.054018498,-0.026313957,2.75E+02,0.004081625,283.6320869
11/1/90,266.034251,-0.00596105,-0.008453605,2.65E+02,0.003307136,268.5099022
12/1/90,278.3990217,0.045430351,-0.006443871,2.64E+02,-0.048600189,253.104936
1/1/91,316.7128884,0.128940234,0.148682505,3.20E+02,-0.109286159,247.9738619
2/1/91,342.7934049,0.079132299,0.01016679,3.20E+02,-0.010286421,313.4550464
3/1/91,407.4252195,0.172729458,0.114120886,3.82E+02,0.39254275,477.3544706
4/1/91,383.1016831,-0.06155696,0.081304364,4.41E+02,0.056981791,430.6410381
5/1/91,407.9799245,0.062917524,-0.001525099,3.83E+02,0.211721048,464.2123728
6/1/91,415.1094305,0.017324205,0.042901445,4.25E+02,-0.146022126,348.4058286
7/1/91,487.3450385,0.160430197,0.143307447,4.75E+02,0.372828394,569.8740129
8/1/91,456.525841,-0.065327065,-0.042897139,4.66E+02,-0.24719736,366.8746317
9/1/91,431.684119,-0.055951191,0.030979473,4.71E+02,0.005758748,459.1548585
10/1/91,412.8212998,-0.044679303,-0.235456109,3.30E+02,0.781042755,768.8478724
11/1/91,348.9052851,-0.168214315,0.107049935,4.57E+02,-1.91846776,-379.1630546
12/1/91,332.4684568,-0.048255507,-0.100432135,3.14E+02,0.908586681,665.91598
1/1/92,312.7593314,-0.061111003,-0.018000409,3.26E+02,-0.092545167,301.700108
2/1/92,317.3027226,0.014422294,-0.131496161,2.72E+02,-0.101939864,280.8766875
3/1/92,326.2639004,0.027850285,0.014821128,3.22E+02,0.059809588,336.2804677
4/1/92,382.3968391,0.158752351,0.916975915,6.25E+02,-0.03060963,316.2770831
5/1/92,411.4858771,0.073315784,1.704104066,1.03E+03,0.080498852,413.1793456
6/1/92,394.6868546,-0.041682022,-2.403673172,-5.78E+02,0.167517796,480.4170844
7/1/92,369.4238191,-0.066148131,-0.036075555,3.80E+02,-0.062175594,370.1469649
8/1/92,381.9099722,0.03324036,-0.027679931,3.59E+02,0.030016555,380.5126493
9/1/92,344.7527418,-0.102357436,-0.017248921,3.75E+02,-0.048845358,363.2554428
10/1/92,399.0441838,0.146244677,0.066952914,3.68E+02,0.036939122,357.4876054
11/1/92,435.0322561,0.086348033,-0.013687893,3.94E+02,0.01876682,406.5329743
12/1/92,421.1621308,-0.032402312,0.082314499,4.71E+02,0.079873569,469.7798351
1/1/93,366.5503178,-0.138882064,0.404230803,5.91E+02,-0.056051809,397.5552313
2/1/93,408.9962441,0.109570168,0.031730749,3.78E+02,-0.008143701,363.5652417
3/1/93,403.8374096,-0.012693628,-0.49829495,2.05E+02,0.001862102,409.7578367
4/1/93,443.5541891,0.093807634,0.056657616,4.27E+02,0.012832331,409.0195847
5/1/93,393.9276899,-0.118652615,-0.02203506,4.34E+02,0.006969669,446.6456149
6/1/93,374.2117318,-0.051345599,-0.00759574,3.91E+02,0.007224816,396.773745
7/1/93,374.2582194,0.00012422,-0.446495861,2.07E+02,-0.067318574,349.0203318
8/1/93,375.9042889,0.004388575,0.213060662,4.54E+02,0.094595224,409.6612594
9/1/93,360.6300664,-0.041481874,0.146489933,4.31E+02,-0.114221916,332.967781
10/1/93,378.5533804,0.048504408,-0.009084837,3.57E+02,0.035823353,373.5490444
11/1/93,350.1050443,-0.078123858,-0.026811151,3.68E+02,-0.00919672,375.0719309
12/1/93,342.2396837,-0.022721915,-0.000680153,3.50E+02,-0.063202776,327.9774336
1/1/94,347.8624263,0.016295754,0.029449996,3.52E+02,0.009703351,345.5605555
2/1/94,362.5052147,0.041231785,-0.001752669,3.47E+02,0.006029009,349.9596921
3/1/94,381.8200685,0.051910613,-0.008012219,3.60E+02,0.003952748,363.9381065
4/1/94,351.9340973,-0.081505538,-0.064456999,3.57E+02,-0.005155652,379.851537
5/1/94,307.6531131,-0.134471043,-0.091831259,3.20E+02,-0.094441414,318.6969436
6/1/94,343.0987969,0.109045551,0.070787899,3.29E+02,0.014096715,311.9900112
7/1/94,351.0192075,0.022822501,0.018055577,3.49E+02,-0.160880849,287.9007713
8/1/94,328.9847787,-0.06482946,-0.028779997,3.41E+02,0.002898694,352.0367047
9/1/94,376.039757,0.13368339,0.062571622,3.50E+02,0.209829345,398.0154394
10/1/94,378.2667109,0.005904657,-0.119792305,3.31E+02,0.018218415,382.8906053
11/1/94,415.2452311,0.093269733,0.18114385,4.47E+02,0.005595305,380.3832284
12/1/94,417.1409217,0.004554842,0.075278603,4.47E+02,0.112816438,462.091719
1/1/95,486.1175836,0.15302643,0.42890057,5.96E+02,0.351438791,563.7404227
2/1/95,552.4421239,0.127898139,1.071574807,1.01E+03,-0.050878059,461.3848644
3/1/95,543.7523174,-0.01585483,-1.232748032,-1.29E+02,-0.032833394,534.3035742
4/1/95,580.0804776,0.064673004,-0.240015,4.13E+02,-0.001119598,543.1435332
5/1/95,607.5626486,0.046288447,0.088200167,6.31E+02,0.247227088,723.4920847
6/1/95,659.3975811,0.081871367,0.306512475,7.94E+02,-0.09140984,552.0254443
7/1/95,621.3054519,-0.05950383,-0.185750827,5.37E+02,0.018469224,671.5761426
8/1/95,649.9814699,0.045121023,-0.053919364,5.88E+02,0.030766711,640.4209769
9/1/95,693.7618387,0.065184875,0.301602513,8.46E+02,0.012696384,658.2338839
10/1/95,619.9380955,-0.112509103,-0.049265627,6.60E+02,-0.08828637,632.5121243
11/1/95,571.8338352,-0.080771176,-0.032677948,6.00E+02,-0.024694247,604.6291909
12/1/95,498.1278653,-0.13799165,-0.068904243,5.32E+02,-0.037867215,550.1800807
1/1/96,488.2386792,-0.020052419,-0.036815986,4.80E+02,-0.028490707,483.9358501
2/1/96,516.0756266,0.055448935,-0.069823451,4.54E+02,-0.02423228,476.407543
